School,Country,Department(s),Total # of Faculty,Women,Men,Other,White,Middle Eastern (* if included in White),East Asian,South Asian (* if included in EA),Hispanic,Black,Native American,Other,Total # URM,Date Reported,Source,Notes on methodology
Carnegie Mellon University,"USA, Qatar",Computer Science,79,10,69,0,56,8,4,7,4,0,0,0,4,11/23/15,https://www.scs.cmu.edu/directory/csd,"Counted based on physical appearance, biography, and last name origin. Worth noting that middle eastern #s are high because CMU has a campus in Qatar. Click on link in source and filter by 'Faculty'."
Harvard University,USA,Computer Science,31,4,27,0,20,0,4,4,0,2,0,1,3,11/23/15,https://www.seas.harvard.edu/faculty-research/people/ladder,"Counted based on physical appearance, biography, and last name origin."
Harvey Mudd College,USA,Computer Engineering,15,6,9,0,13,0,1,0,0,1,0,0,1,11/23/15,https://www.cs.hmc.edu/people/,"Counted based on physical appearance, biography, and last name origin."
Massachusetts Institute of Technology,USA,Electrical Engineering/Computer Science,124,,,,92,*,23,*,,,,,9,1/14/10,http://web.mit.edu/provost/raceinitiative/report.pdf,Collected from MIT's Report on the Initiative for Faculty Race and Diversity; Blank cells indicate missing data
San Francisco State University,USA,Computer Science,11,4,7,0,4,*,5,2,0,0,0,0,0,11/23/15,http://cs.sfsu.edu/faculty/directory.php,"Counted based on physical appearance, biography, and last name origin."
San Jose State University,USA,Computer Science,17,5,12,0,9,*,7,0,0,1,0,0,1,11/23/15,http://www.sjsu.edu/cs/community/faculty/index.html,"Counted based on physical appearance, biography, and last name origin."
Santa Clara University,USA,Computer Engineering,13,5,8,0,6,1,5,0,1,0,0,0,1,11/23/15,http://www.scu.edu/engineering/cse/about/people.cfm,"Counted based on physical appearance, biography, and last name origin."
Stanford University,USA,Computer Science,57,4,53,0,44,*,5,6,1,1,0,0,2,11/23/15,http://www-cs.stanford.edu/directory/faculty,"Counted based on physical appearance, biography, and last name origin."
UC Berkeley,USA,Electrical Engineering/ Computer Science,130,16,114,0,86,5,11,24,3,1,0,0,4,11/23/15,http://www.eecs.berkeley.edu/Faculty/Lists/list.shtml,"Manually counted and estimated based on appearance, biography, and name"
UC Santa Cruz,USA,Computer Science,38,4,34,0,30,1,2,5,0,0,0,0,0,11/23/15,https://www.soe.ucsc.edu/departments/computer-science/people/faculty,"Counted based on physical appearance, biography, and last name origin."
UCLA,USA,Computer Science,54,6,48,0,38,2,9,5,0,0,0,0,0,11/23/15,http://www.cs.ucla.edu/faculty/,"Counted based on physical appearance, biography, and last name origin."
